Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Sword Of Shannara,Terry Brooks,eBook,12.99,,None,None,None,None
The Dollhouse,Fiona Davis,eBook,23.99,19.99,None,None,None,None
Masters of Rome,Robert Fabbri,eBook,9.49,8.99,None,None,None,None
Apache Dawn,Damien Lewis,eBook,,,None,None,None,None
Apache Dawn,Damien Lewis,eBook,,,None,None,None,None
Apache Dawn,Damien Lewis,eBook,,,None,None,None,None
Apache Dawn,Damien Lewis,eBook,,,None,None,None,None
Apache Dawn,Damien Lewis,eBook,,,None,None,None,None
Apache Dawn,Damien Lewis,eBook,,,None,None,None,None
Body Swap,Katrina Kahler,eBook,,,None,None,None,None
Hunger,Michael Grant,eBook,13.99,,None,None,None,None
The Fire Islands,Gilbert M. Stack,eBook,,,None,None,None,None
The Fire Islands,Gilbert M. Stack,eBook,,,None,None,None,None
The Fire Islands,Gilbert M. Stack,eBook,,,None,None,None,None
The Fire Islands,Gilbert M. Stack,eBook,,,None,None,None,None
The Fire Islands,Gilbert M. Stack,eBook,,,None,None,None,None
The Fire Islands,Gilbert M. Stack,eBook,,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
March of the Lemmings,Stewart Lee,eBook,18.69,15.99,None,None,None,None
Path of the Assassin,Brad Thor,eBook,9.99,,None,None,None,None
Path of the Assassin,Brad Thor,eBook,9.99,,None,None,None,None
Path of the Assassin,Brad Thor,eBook,9.99,,None,None,None,None
Path of the Assassin,Brad Thor,eBook,9.99,,None,None,None,None
Path of the Assassin,Brad Thor,eBook,9.99,,None,None,None,None
Path of the Assassin,Brad Thor,eBook,9.99,,None,None,None,None
The Case of the Missing Boyfriend,Nick Alexander,eBook,5.99,,None,None,None,None
Caves of Steel,Isaac Asimov,eBook,13.19,10.99,None,None,None,None
Everything is Figureoutable,Marie Forleo,eBook,4.99,,None,None,None,None
Everything is Figureoutable,Marie Forleo,eBook,4.99,,None,None,None,None
Everything is Figureoutable,Marie Forleo,eBook,4.99,,None,None,None,None
Everything is Figureoutable,Marie Forleo,eBook,4.99,,None,None,None,None
Everything is Figureoutable,Marie Forleo,eBook,4.99,,None,None,None,None
Everything is Figureoutable,Marie Forleo,eBook,4.99,,None,None,None,None
The Glass Woman,Caroline Lea,eBook,15.99,,None,None,None,None
Dying for a Cruise,Joyce Cato,,,,None,None,None,None
Me Talk Pretty One Day,David Sedaris,eBook,12.99,,None,None,None,None
The Red Tent,Anita Diamant,eBook,,,None,None,None,None
The Red Tent,Anita Diamant,eBook,,,None,None,None,None
The Red Tent,Anita Diamant,eBook,,,None,None,None,None
The Red Tent,Anita Diamant,eBook,,,None,None,None,None
The Bones Beneath,Mark Billingham,eBook,11.99,,None,None,None,None
Brain Freeze,Tom Fletcher,eBook,1.99,,None,None,None,None
One Cretan Evening and Other Stories,Victoria Hislop,eBook,3.99,,None,None,None,None
The Hairy Bikers' 12 Days of Christmas,Hairy Bikers,eBook,19.99,,None,None,None,None
Quite Ugly One Morning,Christopher Brookmyre,eBook,11.99,,None,None,None,None
Quite Ugly One Morning,Christopher Brookmyre,eBook,11.99,,None,None,None,None
